be001,0.8139442231075698,0.685817,0.854279,0.596875,0.584204,0.130267,0.452942,
be001_1,0.8254054054054054,0.719928,0.882914,0.806841,0.805048,0.248004,0.638807,
be001_2,0.8189189189189189,0.797127,0.911231,0.760274,0.779956,0.296296,0.676368,
e001,0.852456839309429,0.554758,0.659561,0.735714,0.723308,0.085487,0.282448,
e001_1,0.8525232403718459,0.547576,0.646834,0.740291,0.729982,0.083859,0.274465,
e002,0.8349269588313413,0.526032,0.666242,0.672018,0.670294,0.088744,0.307874,
e003,0.8407038512616202,0.549372,0.517658,0.697039,0.765287,0.089355,0.209520,
e004,0.8438247011952191,0.393178,0.574292,0.805147,0.743410,0.055363,0.239283,
e005,0.8230411686586986,0.183124,0.383073,0.935780,0.820163,0.022186,0.144673,
e006,0.7873837981407702,0.104129,0.144130,0.983051,0.974194,0.012009,0.045826,
e007,0.8392430278884462,0.317774,0.572701,0.830986,0.731113,0.043354,0.242633,
e008,0.797742363877822,0.786355,0.825008,0.466951,0.580089,0.190922,0.440524,
e009,0.8386454183266933,0.633752,0.655425,0.637184,0.686209,0.112762,0.295851,
e010,0.7543160690571049,0.0,0.0,0.0,0.0,0.0,0.0,
e011,0.7543160690571049,0.0,0.0,0.0,0.0,0.0,0.0,
nne002,0.848871181938911,0.581688,0.699332,0.704348,0.695570,0.093629,0.311422,
nne005,0.8536520584329349,0.495512,0.613745,0.786325,0.752634,0.071443,0.252587,
nne006,0.846215139442231,0.610413,0.703786,0.675944,0.687597,0.102381,0.317040,
nne007,0.8398406374501992,0.536804,0.694241,0.65859,0.67764,0.092408,0.317335,
nne008,0.8464143426294821,0.624776,0.704423,0.674419,0.687364,0.105027,0.317434,
nne009,0.8420318725099601,0.509874,0.605472,0.731959,0.714071,0.078974,0.262639,
